Episode,Total Reward,Epsilon,Replay Buffer Size,Learn Step Counter,Times
442,1788.0,0.1,56832,226816,2025-04-02 02:30:10
443,247.0,0.1,56832,226940,2025-04-02 02:30:12
444,298.0,0.1,56832,227052,2025-04-02 02:30:14
445,1084.0,0.1,57024,227788,2025-04-02 02:30:28
446,667.0,0.1,57152,228164,2025-04-02 02:30:36
447,246.0,0.1,57152,228312,2025-04-02 02:30:38
448,235.0,0.1,57216,228464,2025-04-02 02:30:41
449,290.0,0.1,57280,228612,2025-04-02 02:30:44
450,1424.0,0.1,57472,229396,2025-04-02 02:30:59
451,233.0,0.1,57472,229544,2025-04-02 02:31:02
452,1139.0,0.1,57664,230372,2025-04-02 02:31:17
453,248.0,0.1,57728,230488,2025-04-02 02:31:19
454,252.0,0.1,57728,230604,2025-04-02 02:31:21
455,677.0,0.1,57856,231020,2025-04-02 02:31:29
456,670.0,0.1,57920,231380,2025-04-02 02:31:36
457,1661.0,0.1,58176,232284,2025-04-02 02:31:52
458,679.0,0.1,58240,232588,2025-04-02 02:31:58
459,674.0,0.1,58368,232952,2025-04-02 02:32:05
460,297.0,0.1,58368,233072,2025-04-02 02:32:07
461,239.0,0.1,58432,233220,2025-04-02 02:32:10
462,298.0,0.1,58432,233336,2025-04-02 02:32:12
463,1417.0,0.1,58624,234148,2025-04-02 02:32:27
464,672.0,0.1,58752,234552,2025-04-02 02:32:34
465,770.0,0.1,58880,235204,2025-04-02 02:32:46
466,1188.0,0.1,59072,235916,2025-04-02 02:33:00
467,666.0,0.1,59136,236220,2025-04-02 02:33:05
468,1159.0,0.1,59328,236864,2025-04-02 02:33:17
469,233.0,0.1,59328,237016,2025-04-02 02:33:20
